"Chicken Bacon King","Bacon;Ketchup;Pollo;Maionese;Formaggio"
"Chicken Royale","Pollo,Maionese,Lattuga"
"Chicken Royale Bacon Cheese","Bacon;Pomodoro a fette;Maionese;Pollo;Lattuga;Formaggio"
"Crispy Chicken","Pomodoro a fette;Maionese;Pollo;Lattuga"
"Crunchicken","Pane al mais;Doppia maionese;Pomodoro a fette;Lattuga;Pollo croccante"
"Specktacular Chicken","Pane al mais;Cipolle fresche fritte;Salsa BBQ;Pollo croccante;Formaggio svizzero;Speck Alto Adige IGP"

"Specktacular", "Pane al mais;Carne alla griglia;Cipolle fresche fritte;Salsa BBQ;Formaggio svizzero;Speck Alto Adige IGP"
"Bacon King 3.0 Ranch Sauce","Carne alla griglia;Bacon;Maionese;Ketchup;Formaggio;Salsa Ranch"
"Bacon King 3.0","Carne alla griglia;Bacon;Maionese;Ketchup;Formaggio"
"Bacon King","Carne alla griglia;Ketchup;Maionese;Formaggio"
"Bronx Steakhouse","Pane al mais;Carne alla griglia;Bacon;Pomodoro a fette;Maionese;Salsa BBQ;Lattuga;Cipolla;Formaggio"
"Big King","Doppia carne;Cipolla fresca;Lattuga;Formaggio"
"Big King XXL","Doppia carne; Cipolla fresca;Lattuga;Formaggio"
"Hamburger","Carne alla griglia;Ketchup;Senape;Cetrioli"
"Cheeseburger","Carne alla griglia;Ketchup;Senape;Formaggio;Cetrioli"

"Pretzel Bacon Pub Cheeseburger","Pane pretzel;Hamburger;Formaggio;Cipolle;Salsa alla birra;Bacon affumicato;Senape;Cetrioli"
"Pretzel Bacon Pub Double Cheeseburger","Pane pretzel;Hamburger;Formaggio;Cipolle;Salsa alla birra;Bacon affumicato;Senape;Cetrioli"
"Pretzel Bacon Pub Triple Cheeseburger","Pane pretzel;Hamburger;Formaggio;Cipolle;Salsa alla birra;Bacon affumicato;Senape;Cetrioli"
